               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.033783,            0.067252,            0.017496,             0.52626,             0.41723,             0.42912,              0.2445,              0.0323,            0.097146,            0.024621,            0.005248,            0.005248,            0.005248
                 146,            0.033715,            0.066755,            0.017589,             0.52593,             0.41844,             0.43003,             0.24494,            0.032293,            0.097136,            0.024615,            0.005215,            0.005215,            0.005215
                 147,            0.033605,            0.067252,            0.017369,             0.52418,             0.42027,             0.42986,             0.24469,            0.032288,            0.097131,            0.024598,            0.005182,            0.005182,            0.005182
                 148,            0.033778,            0.066207,            0.017389,             0.52427,             0.42114,             0.43033,             0.24549,            0.032286,            0.097115,            0.024594,            0.005149,            0.005149,            0.005149
                 149,            0.033663,            0.066159,            0.017342,             0.52325,             0.42154,             0.43025,             0.24529,             0.03228,            0.097115,            0.024591,            0.005116,            0.005116,            0.005116
                 150,            0.033563,            0.066089,            0.017305,              0.5249,             0.42057,              0.4305,             0.24539,            0.032275,            0.097114,            0.024584,            0.005083,            0.005083,            0.005083
                 151,            0.033597,            0.065659,            0.017317,             0.52443,             0.42126,             0.43139,             0.24585,             0.03227,              0.0971,            0.024576,             0.00505,             0.00505,             0.00505
                 152,            0.033608,            0.066033,             0.01722,             0.52198,             0.42285,             0.43146,             0.24581,            0.032265,             0.09709,            0.024579,            0.005017,            0.005017,            0.005017
                 153,            0.033519,            0.066151,             0.01709,             0.51946,             0.42555,             0.43176,             0.24588,            0.032258,            0.097078,            0.024573,            0.004984,            0.004984,            0.004984
                 154,            0.033431,            0.065621,            0.017173,             0.51993,             0.42482,             0.43175,             0.24612,            0.032254,            0.097063,            0.024565,            0.004951,            0.004951,            0.004951
                 155,            0.033445,            0.066013,            0.017118,             0.52093,             0.42424,             0.43221,             0.24608,             0.03225,            0.097078,            0.024557,            0.004918,            0.004918,            0.004918
                 156,            0.033627,            0.066082,            0.017164,             0.52676,             0.42064,              0.4323,             0.24619,            0.032245,            0.097073,            0.024553,            0.004885,            0.004885,            0.004885
                 157,             0.03368,            0.066696,             0.01715,             0.52604,             0.42169,             0.43227,             0.24628,            0.032242,            0.097063,            0.024547,            0.004852,            0.004852,            0.004852
                 158,            0.033458,            0.066063,            0.017132,             0.52663,              0.4206,             0.43267,             0.24656,            0.032238,            0.097061,            0.024543,            0.004819,            0.004819,            0.004819
                 159,            0.033438,            0.066007,            0.017105,             0.52826,             0.41906,             0.43298,             0.24655,            0.032234,            0.097044,            0.024539,            0.004786,            0.004786,            0.004786
                 160,            0.033556,            0.066556,            0.016989,             0.53027,             0.41848,             0.43304,             0.24664,            0.032231,            0.097044,            0.024537,            0.004753,            0.004753,            0.004753
